window_index,y_now,k,horizon_s,attack_prob,progression_state,attck_phase,confidence
130,0,4,40,0.0216,NORMAL,None,Low
130,0,5,50,0.0226,NORMAL,None,Low
130,0,6,60,0.0266,NORMAL,None,Low
131,0,1,10,0.0226,NORMAL,None,Medium
131,0,2,20,0.0244,NORMAL,None,Medium
131,0,3,30,0.0248,NORMAL,None,Medium
131,0,4,40,0.0249,NORMAL,None,Low
131,0,5,50,0.0238,NORMAL,None,Low
131,0,6,60,0.0292,NORMAL,None,Low
132,0,1,10,0.0264,NORMAL,None,Medium
132,0,2,20,0.026,NORMAL,None,Medium
132,0,3,30,0.0277,NORMAL,None,Medium
132,0,4,40,0.0263,NORMAL,None,Low
132,0,5,50,0.026,NORMAL,None,Low
132,0,6,60,0.0254,NORMAL,None,Low
133,0,1,10,0.0261,NORMAL,None,Medium
133,0,2,20,0.0248,NORMAL,None,Medium
133,0,3,30,0.0282,NORMAL,None,Medium
133,0,4,40,0.0257,NORMAL,None,Low
133,0,5,50,0.0266,NORMAL,None,Low
133,0,6,60,0.0267,NORMAL,None,Low
134,0,1,10,0.2991,NORMAL,None,Medium
134,0,2,20,0.2413,NORMAL,None,Medium
134,0,3,30,0.1968,NORMAL,None,Medium
134,0,4,40,0.1535,NORMAL,None,Low
134,0,5,50,0.1072,NORMAL,None,Low
134,0,6,60,0.0868,NORMAL,None,Low
135,0,1,10,0.6857,ACTIVE,Attack (unspecified),Low
135,0,2,20,0.7527,ACTIVE,Attack (unspecified),Low
135,0,3,30,0.7812,ACTIVE,Attack (unspecified),Low
135,0,4,40,0.7918,ACTIVE,Attack (unspecified),Low
135,0,5,50,0.786,ACTIVE,Attack (unspecified),Low
135,0,6,60,0.7838,ACTIVE,Attack (unspecified),Low
136,0,1,10,0.7122,ACTIVE,Attack (unspecified),Low
136,0,2,20,0.7847,ACTIVE,Attack (unspecified),Low
136,0,3,30,0.8214,PRE_ATTACK,Reconnaissance,Low
136,0,4,40,0.8395,ACTIVE,Attack (unspecified),Low
136,0,5,50,0.842,ACTIVE,Attack (unspecified),Low
136,0,6,60,0.8417,ACTIVE,Attack (unspecified),Low
137,0,1,10,0.7426,PRE_ATTACK,Reconnaissance,Low
137,0,2,20,0.7531,PRE_ATTACK,Reconnaissance,Low
137,0,3,30,0.7556,PRE_ATTACK,Reconnaissance,Low
137,0,4,40,0.7592,PRE_ATTACK,Reconnaissance,Low
137,0,5,50,0.7649,PRE_ATTACK,Reconnaissance,Low
137,0,6,60,0.7717,PRE_ATTACK,Reconnaissance,Low
138,0,1,10,0.0485,NORMAL,None,Medium
138,0,2,20,0.0386,NORMAL,None,Medium
138,0,3,30,0.0375,NORMAL,None,Medium
138,0,4,40,0.0305,NORMAL,None,Low
138,0,5,50,0.0309,NORMAL,None,Low
138,0,6,60,0.0304,NORMAL,None,Low
139,0,1,10,0.106,NORMAL,None,Medium
139,0,2,20,0.0689,NORMAL,None,Medium
139,0,3,30,0.0499,NORMAL,None,Medium
139,0,4,40,0.0446,NORMAL,None,Low
139,0,5,50,0.0381,NORMAL,None,Low
139,0,6,60,0.0344,NORMAL,None,Low
140,0,1,10,0.03,NORMAL,None,Medium
140,0,2,20,0.0262,NORMAL,None,Medium
140,0,3,30,0.0242,NORMAL,None,Medium
140,0,4,40,0.0258,NORMAL,None,Low
140,0,5,50,0.0238,NORMAL,None,Low
140,0,6,60,0.0261,NORMAL,None,Low
141,0,1,10,0.0238,NORMAL,None,Medium
141,0,2,20,0.0227,NORMAL,None,Medium
141,0,3,30,0.024,NORMAL,None,Medium
141,0,4,40,0.0231,NORMAL,None,Low
141,0,5,50,0.0233,NORMAL,None,Low
141,0,6,60,0.025,NORMAL,None,Low
142,0,1,10,0.0173,NORMAL,None,Medium
142,0,2,20,0.0197,NORMAL,None,Medium
142,0,3,30,0.0211,NORMAL,None,Medium
142,0,4,40,0.0228,NORMAL,None,Low
142,0,5,50,0.0252,NORMAL,None,Low
142,0,6,60,0.0264,NORMAL,None,Low
143,0,1,10,0.0172,NORMAL,None,Medium
143,0,2,20,0.0223,NORMAL,None,Medium
143,0,3,30,0.0225,NORMAL,None,Medium
143,0,4,40,0.022,NORMAL,None,Low
143,0,5,50,0.0254,NORMAL,None,Low
143,0,6,60,0.0276,NORMAL,None,Low
144,0,1,10,0.0184,NORMAL,None,Medium
144,0,2,20,0.0219,NORMAL,None,Medium
144,0,3,30,0.0245,NORMAL,None,Medium
144,0,4,40,0.0252,NORMAL,None,Low
144,0,5,50,0.0247,NORMAL,None,Low
144,0,6,60,0.0269,NORMAL,None,Low
145,0,1,10,0.0202,NORMAL,None,Medium
145,0,2,20,0.0269,NORMAL,None,Medium
145,0,3,30,0.0259,NORMAL,None,Medium
145,0,4,40,0.0261,NORMAL,None,Low
145,0,5,50,0.0263,NORMAL,None,Low
145,0,6,60,0.0244,NORMAL,None,Low
146,0,1,10,0.0203,NORMAL,None,Medium
146,0,2,20,0.0223,NORMAL,None,Medium
146,0,3,30,0.0234,NORMAL,None,Medium
146,0,4,40,0.0245,NORMAL,None,Low
146,0,5,50,0.0226,NORMAL,None,Low
146,0,6,60,0.0242,NORMAL,None,Low
147,0,1,10,0.5727,NORMAL,None,Medium
147,0,2,20,0.5627,NORMAL,None,Medium
147,0,3,30,0.5345,NORMAL,None,Medium
147,0,4,40,0.5182,NORMAL,None,Low
147,0,5,50,0.5162,NORMAL,None,Low
147,0,6,60,0.4998,NORMAL,None,Low
148,0,1,10,0.5868,NORMAL,None,Medium
148,0,2,20,0.574,NORMAL,None,Medium
148,0,3,30,0.5812,NORMAL,None,Medium
148,0,4,40,0.5816,NORMAL,None,Low
148,0,5,50,0.562,NORMAL,None,Low
148,0,6,60,0.557,NORMAL,None,Low
149,0,1,10,0.0182,NORMAL,None,Medium
149,0,2,20,0.0207,NORMAL,None,Medium
149,0,3,30,0.024,NORMAL,None,Medium
149,0,4,40,0.0246,NORMAL,None,Low
149,0,5,50,0.0241,NORMAL,None,Low
149,0,6,60,0.0217,NORMAL,None,Low
270,0,1,10,0.0152,NORMAL,None,Medium
270,0,2,20,0.0239,NORMAL,None,Medium
270,0,3,30,0.0257,NORMAL,None,Medium
270,0,4,40,0.0255,NORMAL,None,Low
270,0,5,50,0.0256,NORMAL,None,Low
270,0,6,60,0.0273,NORMAL,None,Low
271,0,1,10,0.0145,NORMAL,None,Medium
271,0,2,20,0.022,NORMAL,None,Medium
271,0,3,30,0.022,NORMAL,None,Medium
271,0,4,40,0.0217,NORMAL,None,Low
271,0,5,50,0.0224,NORMAL,None,Low
271,0,6,60,0.0224,NORMAL,None,Low
272,0,1,10,0.016,NORMAL,None,Medium
272,0,2,20,0.0202,NORMAL,None,Medium
272,0,3,30,0.0224,NORMAL,None,Medium
272,0,4,40,0.0235,NORMAL,None,Low
272,0,5,50,0.0254,NORMAL,None,Low
272,0,6,60,0.0258,NORMAL,None,Low
273,0,1,10,0.0162,NORMAL,None,Medium
273,0,2,20,0.0223,NORMAL,None,Medium
273,0,3,30,0.0252,NORMAL,None,Medium
273,0,4,40,0.0236,NORMAL,None,Low
273,0,5,50,0.0263,NORMAL,None,Low
273,0,6,60,0.0254,NORMAL,None,Low
274,0,1,10,0.0179,NORMAL,None,Medium
274,0,2,20,0.0226,NORMAL,None,Medium
274,0,3,30,0.0248,NORMAL,None,Medium
274,0,4,40,0.0251,NORMAL,None,Low
274,0,5,50,0.0253,NORMAL,None,Low
274,0,6,60,0.028,NORMAL,None,Low
275,0,1,10,0.0168,NORMAL,None,Medium
275,0,2,20,0.0211,NORMAL,None,Medium
275,0,3,30,0.0239,NORMAL,None,Medium
275,0,4,40,0.0251,NORMAL,None,Low
275,0,5,50,0.0244,NORMAL,None,Low
275,0,6,60,0.0277,NORMAL,None,Low
276,0,1,10,0.0162,NORMAL,None,Medium
276,0,2,20,0.0199,NORMAL,None,Medium
276,0,3,30,0.0231,NORMAL,None,Medium
276,0,4,40,0.0237,NORMAL,None,Low
276,0,5,50,0.0233,NORMAL,None,Low
276,0,6,60,0.0258,NORMAL,None,Low
277,0,1,10,0.0233,NORMAL,None,Medium
277,0,2,20,0.0243,NORMAL,None,Medium
277,0,3,30,0.0239,NORMAL,None,Medium
277,0,4,40,0.0258,NORMAL,None,Low
277,0,5,50,0.0258,NORMAL,None,Low
277,0,6,60,0.028,NORMAL,None,Low
278,0,1,10,0.0269,NORMAL,None,Medium
278,0,2,20,0.0241,NORMAL,None,Medium
278,0,3,30,0.0248,NORMAL,None,Medium
278,0,4,40,0.0242,NORMAL,None,Low
278,0,5,50,0.0244,NORMAL,None,Low
278,0,6,60,0.0243,NORMAL,None,Low
279,0,1,10,0.0342,NORMAL,None,Medium
279,0,2,20,0.0304,NORMAL,None,Medium
279,0,3,30,0.0257,NORMAL,None,Medium
279,0,4,40,0.0281,NORMAL,None,Low
279,0,5,50,0.0278,NORMAL,None,Low
279,0,6,60,0.0254,NORMAL,None,Low
280,0,1,10,0.0208,NORMAL,None,Medium
280,0,2,20,0.0251,NORMAL,None,Medium
280,0,3,30,0.0233,NORMAL,None,Medium
280,0,4,40,0.025,NORMAL,None,Low
280,0,5,50,0.0237,NORMAL,None,Low
280,0,6,60,0.0243,NORMAL,None,Low
281,0,1,10,0.0262,NORMAL,None,Medium
281,0,2,20,0.0258,NORMAL,None,Medium
281,0,3,30,0.0246,NORMAL,None,Medium
281,0,4,40,0.0255,NORMAL,None,Low
281,0,5,50,0.0276,NORMAL,None,Low
281,0,6,60,0.0265,NORMAL,None,Low
282,0,1,10,0.0189,NORMAL,None,Medium
282,0,2,20,0.0222,NORMAL,None,Medium
282,0,3,30,0.0218,NORMAL,None,Medium
282,0,4,40,0.0222,NORMAL,None,Low
282,0,5,50,0.0237,NORMAL,None,Low
282,0,6,60,0.0261,NORMAL,None,Low
283,0,1,10,0.0184,NORMAL,None,Medium
283,0,2,20,0.0225,NORMAL,None,Medium
283,0,3,30,0.0277,NORMAL,None,Medium
283,0,4,40,0.024,NORMAL,None,Low
283,0,5,50,0.0274,NORMAL,None,Low
283,0,6,60,0.0249,NORMAL,None,Low
284,0,1,10,0.0179,NORMAL,None,Medium
284,0,2,20,0.0219,NORMAL,None,Medium
284,0,3,30,0.0238,NORMAL,None,Medium
284,0,4,40,0.0261,NORMAL,None,Low
284,0,5,50,0.0284,NORMAL,None,Low
284,0,6,60,0.0268,NORMAL,None,Low
285,0,1,10,0.0157,NORMAL,None,Medium
285,0,2,20,0.0214,NORMAL,None,Medium
285,0,3,30,0.0238,NORMAL,None,Medium
285,0,4,40,0.0244,NORMAL,None,Low
285,0,5,50,0.0253,NORMAL,None,Low
285,0,6,60,0.0257,NORMAL,None,Low
286,0,1,10,0.0148,NORMAL,None,Medium
286,0,2,20,0.0215,NORMAL,None,Medium
286,0,3,30,0.0229,NORMAL,None,Medium
286,0,4,40,0.0241,NORMAL,None,Low
286,0,5,50,0.0222,NORMAL,None,Low
286,0,6,60,0.0244,NORMAL,None,Low
287,0,1,10,0.0165,NORMAL,None,Medium
287,0,2,20,0.0203,NORMAL,None,Medium
287,0,3,30,0.0244,NORMAL,None,Medium
287,0,4,40,0.025,NORMAL,None,Low
287,0,5,50,0.0234,NORMAL,None,Low
287,0,6,60,0.0265,NORMAL,None,Low
288,0,1,10,0.0229,NORMAL,None,Medium
288,0,2,20,0.0244,NORMAL,None,Medium
288,0,3,30,0.0273,NORMAL,None,Medium
288,0,4,40,0.0238,NORMAL,None,Low
288,0,5,50,0.0256,NORMAL,None,Low
288,0,6,60,0.0222,NORMAL,None,Low
289,0,1,10,0.0202,NORMAL,None,Medium
289,0,2,20,0.0239,NORMAL,None,Medium
289,0,3,30,0.0256,NORMAL,None,Medium
289,0,4,40,0.0267,NORMAL,None,Low
289,0,5,50,0.0269,NORMAL,None,Low
289,0,6,60,0.0246,NORMAL,None,Low
290,0,1,10,0.0192,NORMAL,None,Medium
290,0,2,20,0.0247,NORMAL,None,Medium
290,0,3,30,0.0222,NORMAL,None,Medium
290,0,4,40,0.0255,NORMAL,None,Low
290,0,5,50,0.0242,NORMAL,None,Low
290,0,6,60,0.0246,NORMAL,None,Low
291,0,1,10,0.022,NORMAL,None,Medium
291,0,2,20,0.026,NORMAL,None,Medium
291,0,3,30,0.027,NORMAL,None,Medium
291,0,4,40,0.0249,NORMAL,None,Low
291,0,5,50,0.0262,NORMAL,None,Low
291,0,6,60,0.026,NORMAL,None,Low
292,0,1,10,0.0219,NORMAL,None,Medium
292,0,2,20,0.0272,NORMAL,None,Medium
292,0,3,30,0.0285,NORMAL,None,Medium
292,0,4,40,0.0289,NORMAL,None,Low
292,0,5,50,0.0291,NORMAL,None,Low
292,0,6,60,0.0268,NORMAL,None,Low
293,0,1,10,0.0212,NORMAL,None,Medium
293,0,2,20,0.0286,NORMAL,None,Medium
293,0,3,30,0.0301,NORMAL,None,Medium
293,0,4,40,0.0273,NORMAL,None,Low
293,0,5,50,0.0291,NORMAL,None,Low
293,0,6,60,0.0279,NORMAL,None,Low
294,0,1,10,0.0191,NORMAL,None,Medium
294,0,2,20,0.0231,NORMAL,None,Medium
294,0,3,30,0.0262,NORMAL,None,Medium
294,0,4,40,0.026,NORMAL,None,Low
294,0,5,50,0.0246,NORMAL,None,Low
294,0,6,60,0.0248,NORMAL,None,Low
295,0,1,10,0.0216,NORMAL,None,Medium
295,0,2,20,0.0269,NORMAL,None,Medium
295,0,3,30,0.0261,NORMAL,None,Medium
295,0,4,40,0.0252,NORMAL,None,Low
295,0,5,50,0.0294,NORMAL,None,Low
295,0,6,60,0.0307,NORMAL,None,Low
296,0,1,10,0.0182,NORMAL,None,Medium
296,0,2,20,0.0231,NORMAL,None,Medium
296,0,3,30,0.0269,NORMAL,None,Medium
296,0,4,40,0.0261,NORMAL,None,Low
296,0,5,50,0.0264,NORMAL,None,Low
296,0,6,60,0.0268,NORMAL,None,Low
297,0,1,10,0.0175,NORMAL,None,Medium
297,0,2,20,0.023,NORMAL,None,Medium
297,0,3,30,0.0278,NORMAL,None,Medium
297,0,4,40,0.0281,NORMAL,None,Low
297,0,5,50,0.0269,NORMAL,None,Low
297,0,6,60,0.0254,NORMAL,None,Low
298,0,1,10,0.0217,NORMAL,None,Medium
298,0,2,20,0.023,NORMAL,None,Medium
298,0,3,30,0.0239,NORMAL,None,Medium
298,0,4,40,0.0246,NORMAL,None,Low
298,0,5,50,0.0275,NORMAL,None,Low
298,0,6,60,0.0268,NORMAL,None,Low
299,0,1,10,0.0236,NORMAL,None,Medium
299,0,2,20,0.0266,NORMAL,None,Medium
299,0,3,30,0.0264,NORMAL,None,Medium
299,0,4,40,0.0276,NORMAL,None,Low
299,0,5,50,0.026,NORMAL,None,Low
299,0,6,60,0.0264,NORMAL,None,Low
420,0,1,10,0.0172,NORMAL,None,Medium
420,0,2,20,0.0217,NORMAL,None,Medium
420,0,3,30,0.0229,NORMAL,None,Medium
420,0,4,40,0.024,NORMAL,None,Low
420,0,5,50,0.0249,NORMAL,None,Low
420,0,6,60,0.0265,NORMAL,None,Low
421,0,1,10,0.0224,NORMAL,None,Medium
421,0,2,20,0.0241,NORMAL,None,Medium
421,0,3,30,0.0251,NORMAL,None,Medium
421,0,4,40,0.0232,NORMAL,None,Low
421,0,5,50,0.0228,NORMAL,None,Low
421,0,6,60,0.0247,NORMAL,None,Low
422,0,1,10,0.0172,NORMAL,None,Medium
422,0,2,20,0.0209,NORMAL,None,Medium
422,0,3,30,0.0248,NORMAL,None,Medium
422,0,4,40,0.0251,NORMAL,None,Low
422,0,5,50,0.0245,NORMAL,None,Low
422,0,6,60,0.0247,NORMAL,None,Low
423,0,1,10,0.0218,NORMAL,None,Medium
423,0,2,20,0.0228,NORMAL,None,Medium
423,0,3,30,0.0235,NORMAL,None,Medium
423,0,4,40,0.0246,NORMAL,None,Low
423,0,5,50,0.0251,NORMAL,None,Low
423,0,6,60,0.023,NORMAL,None,Low
424,0,1,10,0.0188,NORMAL,None,Medium
424,0,2,20,0.023,NORMAL,None,Medium
424,0,3,30,0.0252,NORMAL,None,Medium
424,0,4,40,0.0227,NORMAL,None,Low
424,0,5,50,0.0244,NORMAL,None,Low
424,0,6,60,0.0234,NORMAL,None,Low
425,0,1,10,0.0189,NORMAL,None,Medium
425,0,2,20,0.0233,NORMAL,None,Medium
425,0,3,30,0.0235,NORMAL,None,Medium
425,0,4,40,0.0256,NORMAL,None,Low
425,0,5,50,0.0273,NORMAL,None,Low
425,0,6,60,0.0265,NORMAL,None,Low
426,0,1,10,0.0172,NORMAL,None,Medium
426,0,2,20,0.0246,NORMAL,None,Medium
426,0,3,30,0.0243,NORMAL,None,Medium
426,0,4,40,0.0243,NORMAL,None,Low
426,0,5,50,0.0296,NORMAL,None,Low
426,0,6,60,0.0263,NORMAL,None,Low
427,0,1,10,0.0171,NORMAL,None,Medium
427,0,2,20,0.0222,NORMAL,None,Medium
427,0,3,30,0.0261,NORMAL,None,Medium
427,0,4,40,0.0233,NORMAL,None,Low
427,0,5,50,0.0246,NORMAL,None,Low
427,0,6,60,0.0252,NORMAL,None,Low
428,0,1,10,0.0171,NORMAL,None,Medium
428,0,2,20,0.022,NORMAL,None,Medium
428,0,3,30,0.0241,NORMAL,None,Medium
428,0,4,40,0.0263,NORMAL,None,Low
428,0,5,50,0.0264,NORMAL,None,Low
428,0,6,60,0.0271,NORMAL,None,Low
429,0,1,10,0.019,NORMAL,None,Medium
429,0,2,20,0.0243,NORMAL,None,Medium
429,0,3,30,0.0269,NORMAL,None,Medium
429,0,4,40,0.0239,NORMAL,None,Low
429,0,5,50,0.0245,NORMAL,None,Low
429,0,6,60,0.0253,NORMAL,None,Low
430,0,1,10,0.0341,NORMAL,None,Medium
430,0,2,20,0.0265,NORMAL,None,Medium
430,0,3,30,0.0269,NORMAL,None,Medium
430,0,4,40,0.026,NORMAL,None,Low
430,0,5,50,0.0275,NORMAL,None,Low
430,0,6,60,0.0251,NORMAL,None,Low
431,0,1,10,0.0238,NORMAL,None,Medium
431,0,2,20,0.0267,NORMAL,None,Medium
431,0,3,30,0.0241,NORMAL,None,Medium
431,0,4,40,0.0264,NORMAL,None,Low
431,0,5,50,0.0261,NORMAL,None,Low
431,0,6,60,0.0262,NORMAL,None,Low
432,0,1,10,0.0203,NORMAL,None,Medium
432,0,2,20,0.0241,NORMAL,None,Medium
432,0,3,30,0.025,NORMAL,None,Medium
432,0,4,40,0.0256,NORMAL,None,Low
432,0,5,50,0.0257,NORMAL,None,Low
432,0,6,60,0.0257,NORMAL,None,Low
433,0,1,10,0.0176,NORMAL,None,Medium
433,0,2,20,0.0216,NORMAL,None,Medium
433,0,3,30,0.023,NORMAL,None,Medium
433,0,4,40,0.0241,NORMAL,None,Low
433,0,5,50,0.0232,NORMAL,None,Low
433,0,6,60,0.0252,NORMAL,None,Low
434,0,1,10,0.015,NORMAL,None,Medium
434,0,2,20,0.0201,NORMAL,None,Medium
434,0,3,30,0.0239,NORMAL,None,Medium
434,0,4,40,0.0254,NORMAL,None,Low
434,0,5,50,0.0232,NORMAL,None,Low
434,0,6,60,0.0236,NORMAL,None,Low
435,0,1,10,0.0144,NORMAL,None,Medium
435,0,2,20,0.0206,NORMAL,None,Medium
435,0,3,30,0.0264,NORMAL,None,Medium
435,0,4,40,0.0242,NORMAL,None,Low
435,0,5,50,0.0261,NORMAL,None,Low
435,0,6,60,0.0245,NORMAL,None,Low
436,0,1,10,0.0146,NORMAL,None,Medium
436,0,2,20,0.0204,NORMAL,None,Medium
436,0,3,30,0.0237,NORMAL,None,Medium
436,0,4,40,0.024,NORMAL,None,Low
436,0,5,50,0.0254,NORMAL,None,Low
436,0,6,60,0.0247,NORMAL,None,Low
437,0,1,10,0.0151,NORMAL,None,Medium
437,0,2,20,0.0193,NORMAL,None,Medium
437,0,3,30,0.0229,NORMAL,None,Medium
437,0,4,40,0.025,NORMAL,None,Low
437,0,5,50,0.0254,NORMAL,None,Low
437,0,6,60,0.0244,NORMAL,None,Low
438,0,1,10,0.015,NORMAL,None,Medium
438,0,2,20,0.0209,NORMAL,None,Medium
438,0,3,30,0.0244,NORMAL,None,Medium
438,0,4,40,0.0267,NORMAL,None,Low
438,0,5,50,0.0255,NORMAL,None,Low
438,0,6,60,0.0287,NORMAL,None,Low
439,0,1,10,0.0153,NORMAL,None,Medium
439,0,2,20,0.021,NORMAL,None,Medium
439,0,3,30,0.0233,NORMAL,None,Medium
439,0,4,40,0.0256,NORMAL,None,Low
439,0,5,50,0.0239,NORMAL,None,Low
439,0,6,60,0.0279,NORMAL,None,Low
440,0,1,10,0.0161,NORMAL,None,Medium
440,0,2,20,0.0223,NORMAL,None,Medium
440,0,3,30,0.0241,NORMAL,None,Medium
440,0,4,40,0.0235,NORMAL,None,Low
440,0,5,50,0.0267,NORMAL,None,Low
440,0,6,60,0.0216,NORMAL,None,Low
441,0,1,10,0.0167,NORMAL,None,Medium
441,0,2,20,0.0226,NORMAL,None,Medium
441,0,3,30,0.0218,NORMAL,None,Medium
441,0,4,40,0.0223,NORMAL,None,Low
441,0,5,50,0.0238,NORMAL,None,Low
441,0,6,60,0.0253,NORMAL,None,Low
442,0,1,10,0.0165,NORMAL,None,Medium
442,0,2,20,0.0213,NORMAL,None,Medium
442,0,3,30,0.0223,NORMAL,None,Medium
442,0,4,40,0.0231,NORMAL,None,Low
442,0,5,50,0.0246,NORMAL,None,Low
442,0,6,60,0.0263,NORMAL,None,Low
443,0,1,10,0.0221,NORMAL,None,Medium
443,0,2,20,0.0248,NORMAL,None,Medium
443,0,3,30,0.0257,NORMAL,None,Medium
443,0,4,40,0.0267,NORMAL,None,Low
443,0,5,50,0.0295,NORMAL,None,Low
443,0,6,60,0.0272,NORMAL,None,Low
444,0,1,10,0.0191,NORMAL,None,Medium
444,0,2,20,0.0202,NORMAL,None,Medium
444,0,3,30,0.0232,NORMAL,None,Medium
444,0,4,40,0.0244,NORMAL,None,Low
444,0,5,50,0.0257,NORMAL,None,Low
444,0,6,60,0.0266,NORMAL,None,Low
445,0,1,10,0.0188,NORMAL,None,Medium
445,0,2,20,0.0208,NORMAL,None,Medium
445,0,3,30,0.0209,NORMAL,None,Medium
445,0,4,40,0.0249,NORMAL,None,Low
445,0,5,50,0.0233,NORMAL,None,Low
445,0,6,60,0.0266,NORMAL,None,Low
446,0,1,10,0.0236,NORMAL,None,Medium
446,0,2,20,0.0226,NORMAL,None,Medium
446,0,3,30,0.0238,NORMAL,None,Medium
446,0,4,40,0.022,NORMAL,None,Low
446,0,5,50,0.0241,NORMAL,None,Low
446,0,6,60,0.0237,NORMAL,None,Low
447,0,1,10,0.0169,NORMAL,None,Medium
447,0,2,20,0.0241,NORMAL,None,Medium
447,0,3,30,0.0237,NORMAL,None,Medium
447,0,4,40,0.0253,NORMAL,None,Low
447,0,5,50,0.024,NORMAL,None,Low
447,0,6,60,0.0278,NORMAL,None,Low
448,0,1,10,0.0334,NORMAL,None,Medium
448,0,2,20,0.0298,NORMAL,None,Medium
448,0,3,30,0.0277,NORMAL,None,Medium
448,0,4,40,0.0278,NORMAL,None,Low
448,0,5,50,0.0264,NORMAL,None,Low
448,0,6,60,0.0265,NORMAL,None,Low
449,0,1,10,0.0203,NORMAL,None,Medium
449,0,2,20,0.0222,NORMAL,None,Medium
449,0,3,30,0.0251,NORMAL,None,Medium
449,0,4,40,0.0259,NORMAL,None,Low
449,0,5,50,0.0246,NORMAL,None,Low
449,0,6,60,0.0272,NORMAL,None,Low
570,0,1,10,0.0252,NORMAL,None,Medium
570,0,2,20,0.0258,NORMAL,None,Medium
570,0,3,30,0.0314,NORMAL,None,Medium
570,0,4,40,0.0294,NORMAL,None,Low
570,0,5,50,0.0313,NORMAL,None,Low
570,0,6,60,0.027,NORMAL,None,Low
571,0,1,10,0.025,NORMAL,None,Medium
571,0,2,20,0.0287,NORMAL,None,Medium
571,0,3,30,0.0288,NORMAL,None,Medium
571,0,4,40,0.0266,NORMAL,None,Low
571,0,5,50,0.0238,NORMAL,None,Low
571,0,6,60,0.0231,NORMAL,None,Low
572,1,1,10,0.0226,NORMAL,None,Medium
572,1,2,20,0.0254,NORMAL,None,Medium
572,1,3,30,0.0253,NORMAL,None,Medium
572,1,4,40,0.0265,NORMAL,None,Low
572,1,5,50,0.0273,NORMAL,None,Low
572,1,6,60,0.0272,NORMAL,None,Low
573,1,1,10,0.0247,NORMAL,None,Medium
573,1,2,20,0.0247,NORMAL,None,Medium
573,1,3,30,0.0254,NORMAL,None,Medium
573,1,4,40,0.0248,NORMAL,None,Low
573,1,5,50,0.0279,NORMAL,None,Low
573,1,6,60,0.0258,NORMAL,None,Low
